Time [s],Ch1 Current [A]
4.910000E-8,1.599347E+1
4.920000E-8,1.600925E+1
4.930000E-8,1.602397E+1
4.940000E-8,1.603760E+1
4.950000E-8,1.605016E+1
4.960000E-8,1.606163E+1
4.970000E-8,1.607201E+1
4.980000E-8,1.608130E+1
4.990000E-8,1.608950E+1
5.000000E-8,1.609660E+1
5.010000E-8,1.610261E+1
5.020000E-8,1.610752E+1
5.030000E-8,1.611133E+1
5.040000E-8,1.611404E+1
5.050000E-8,1.611565E+1
5.060000E-8,1.611617E+1
5.070000E-8,1.611558E+1
5.080000E-8,1.611389E+1
5.090000E-8,1.611111E+1
5.100000E-8,1.610724E+1
5.110000E-8,1.610228E+1
5.120000E-8,1.609623E+1
5.130000E-8,1.608909E+1
5.140000E-8,1.608088E+1
5.150000E-8,1.607160E+1
5.160000E-8,1.606125E+1
5.170000E-8,1.604984E+1
5.180000E-8,1.603737E+1
5.190000E-8,1.602387E+1
5.200000E-8,1.600932E+1
5.210000E-8,1.599375E+1
5.220000E-8,1.597717E+1
5.230000E-8,1.595958E+1
5.240000E-8,1.594099E+1
5.250000E-8,1.592142E+1
5.260000E-8,1.590089E+1
5.270000E-8,1.587939E+1
5.280000E-8,1.585696E+1
5.290000E-8,1.583360E+1
5.300000E-8,1.580933E+1
5.310000E-8,1.578416E+1
5.320000E-8,1.575812E+1
5.330000E-8,1.573121E+1
5.340000E-8,1.570345E+1
5.350000E-8,1.567487E+1
5.360000E-8,1.564549E+1
5.370000E-8,1.561531E+1
5.380000E-8,1.558437E+1
5.390000E-8,1.555267E+1
5.400000E-8,1.552025E+1
5.410000E-8,1.548712E+1
5.420000E-8,1.545330E+1
5.430000E-8,1.541882E+1
5.440000E-8,1.538369E+1
5.450000E-8,1.534795E+1
5.460000E-8,1.531160E+1
5.470000E-8,1.527469E+1
5.480000E-8,1.523722E+1
5.490000E-8,1.519922E+1
5.500000E-8,1.516072E+1
5.510000E-8,1.512174E+1
5.520000E-8,1.508231E+1
5.530000E-8,1.504244E+1
5.540000E-8,1.500217E+1
5.550000E-8,1.496152E+1
5.560000E-8,1.492051E+1
5.570000E-8,1.487916E+1
5.580000E-8,1.483752E+1
5.590000E-8,1.479559E+1
5.600000E-8,1.475341E+1
