Time,Ch2
5.78E-08,-0.114596
5.79E-08,-0.1146355
0.000000058,-0.1146726
5.81E-08,-0.1147073
5.82E-08,-0.1147397
5.83E-08,-0.1147696
5.84E-08,-0.1147972
5.85E-08,-0.1148225
5.86E-08,-0.1148454
5.87E-08,-0.114866
5.88E-08,-0.1148842
5.89E-08,-0.1149001
0.000000059,-0.1149137
5.91E-08,-0.114925
5.92E-08,-0.1149341
5.93E-08,-0.1149409
5.94E-08,-0.1149454
5.95E-08,-0.1149477
5.96E-08,-0.1149478
5.97E-08,-0.1149458
5.98E-08,-0.1149415
5.99E-08,-0.1149352
0.00000006,-0.1149267
6.01E-08,-0.1149161
6.02E-08,-0.1149034
6.03E-08,-0.1148887
6.04E-08,-0.1148719
6.05E-08,-0.1148532
6.06E-08,-0.1148325
6.07E-08,-0.1148098
6.08E-08,-0.1147853
6.09E-08,-0.1147588
0.000000061,-0.1147305
6.11E-08,-0.1147003
6.12E-08,-0.1146683
6.13E-08,-0.1146346
6.14E-08,-0.1145991
6.15E-08,-0.1145619
6.16E-08,-0.1145229
6.17E-08,-0.1144824
6.18E-08,-0.1144402
6.19E-08,-0.1143964
0.000000062,-0.114351
6.21E-08,-0.1143041
6.22E-08,-0.1142558
6.23E-08,-0.1142059
6.24E-08,-0.1141546
6.25E-08,-0.1141019
6.26E-08,-0.1140478
6.27E-08,-0.1139924
6.28E-08,-0.1139356
6.29E-08,-0.1138776
0.000000063,-0.1138184
6.31E-08,-0.1137579
6.32E-08,-0.1136963
6.33E-08,-0.1136335
6.34E-08,-0.1135696
6.35E-08,-0.1135046
6.36E-08,-0.1134386
6.37E-08,-0.1133716
6.38E-08,-0.1133035
6.39E-08,-0.1132346
0.000000064,-0.1131647
6.41E-08,-0.1130939
6.42E-08,-0.1130222
6.43E-08,-0.1129498
6.44E-08,-0.1128765
6.45E-08,-0.1128025
6.46E-08,-0.1127277
6.47E-08,-0.1126523
6.48E-08,-0.1125761
6.49E-08,-0.1124993
0.000000065,-0.1124219
6.51E-08,-0.1123439
6.52E-08,-0.1122654
6.53E-08,-0.1121863
6.54E-08,-0.1121067
6.55E-08,-0.1120266
6.56E-08,-0.1119461
6.57E-08,-0.1118651
6.58E-08,-0.1117838
6.59E-08,-0.1117021
0.000000066,-0.11162
6.61E-08,-0.1115376
6.62E-08,-0.111455
6.63E-08,-0.1113721
6.64E-08,-0.1112889
6.65E-08,-0.1112056
6.66E-08,-0.1111221
6.67E-08,-0.1110385
6.68E-08,-0.1109547
6.69E-08,-0.1108709
0.000000067,-0.110787
6.71E-08,-0.1107031
6.72E-08,-0.1106192
6.73E-08,-0.1105353
6.74E-08,-0.1104516
6.75E-08,-0.1103679
6.76E-08,-0.1102844
6.77E-08,-0.110201
6.78E-08,-0.1101179
6.79E-08,-0.110035
0.000000068,-0.1099524
6.81E-08,-0.1098701
6.82E-08,-0.1097882
6.83E-08,-0.1097066
6.84E-08,-0.1096255
6.85E-08,-0.1095448
6.86E-08,-0.1094647
6.87E-08,-0.109385
6.88E-08,-0.109306
6.89E-08,-0.1092276
0.000000069,-0.1091498
6.91E-08,-0.1090728
