Time,Ch2
7.881200E-3,-0.1078746
7.881400E-3,-0.1236737
7.881600E-3,-0.1338485
7.881800E-3,-0.136131
7.882000E-3,-0.1307858
7.882200E-3,-0.1201716
7.882400E-3,-0.107378
7.882600E-3,-0.09461983
7.882800E-3,-0.08249701
7.883000E-3,-0.07066811
7.883200E-3,-0.05922089
7.883400E-3,-0.04940005
7.883600E-3,-0.04312573
7.883800E-3,-0.04196762
7.884000E-3,-0.04649356
7.884200E-3,-0.05608368
7.884400E-3,-0.06878561
7.884600E-3,-0.08141233
7.884800E-3,-0.09048063
7.885000E-3,-0.09372175
7.885200E-3,-0.09112142
7.885400E-3,-0.08476505
7.885600E-3,-0.0775626
7.885800E-3,-0.07171539
7.886000E-3,-0.06800395
7.886200E-3,-0.06615989
7.886400E-3,-0.06570187
7.886600E-3,-0.06653532
7.886800E-3,-0.06891902
7.887000E-3,-0.07287508
7.887200E-3,-0.07771308
7.887400E-3,-0.08240076
7.887600E-3,-0.08670179
7.887800E-3,-0.09189884
7.888000E-3,-0.09982522
7.888200E-3,-0.1106257
7.888400E-3,-0.1214979
7.888600E-3,-0.1280505
7.888800E-3,-0.1273227
7.889000E-3,-0.1199349
7.889200E-3,-0.1097256
7.889400E-3,-0.101381
7.889600E-3,-0.09800212
7.889800E-3,-0.1000705
7.890000E-3,-0.105762
7.890200E-3,-0.1119242
7.890400E-3,-0.1154102
7.890600E-3,-0.1144279
7.890800E-3,-0.109051
7.891000E-3,-0.100437
7.891200E-3,-0.0896963
7.891400E-3,-0.07786206
7.891600E-3,-0.06695209
7.891800E-3,-0.06040669
7.892000E-3,-0.06166005
7.892200E-3,-0.07180409
7.892400E-3,-0.08839125
7.892600E-3,-0.1062077
7.892800E-3,-0.1192752
7.893000E-3,-0.1231099
7.893200E-3,-0.1165536
7.893400E-3,-0.1023537
7.893600E-3,-0.0859278
7.893800E-3,-0.07300439
7.894000E-3,-0.0676814
7.894200E-3,-0.0716402
7.894400E-3,-0.08407063
7.894600E-3,-0.1018907
7.894800E-3,-0.1204025
7.895000E-3,-0.1345918
7.895200E-3,-0.1408278
7.895400E-3,-0.1381025
7.895600E-3,-0.1280138
7.895800E-3,-0.1136743
7.896000E-3,-0.09845933
7.896200E-3,-0.08536581
7.896400E-3,-0.07708216
7.896600E-3,-0.0759405
7.896800E-3,-0.08279208
7.897000E-3,-0.09543327
7.897200E-3,-0.1085878
7.897400E-3,-0.1161682
7.897600E-3,-0.1142215
7.897800E-3,-0.102692
7.898000E-3,-0.08539489
7.898200E-3,-0.06842169
7.898400E-3,-0.05772565
7.898600E-3,-0.0571084
7.898800E-3,-0.0673969
7.899000E-3,-0.0865832
7.899200E-3,-0.1103727
7.899400E-3,-0.1330418
7.899600E-3,-0.1488254
7.899800E-3,-0.1537319
7.900000E-3,-0.1469751
7.900200E-3,-0.131025
7.900400E-3,-0.1102864
7.900600E-3,-0.0895448
7.900800E-3,-0.07306696
7.901000E-3,-0.06413507
7.901200E-3,-0.06437517
7.901400E-3,-0.07286002
7.901600E-3,-0.08587126
7.901800E-3,-0.09819891
7.902000E-3,-0.105474
7.902200E-3,-0.1059068
7.902400E-3,-0.1005372
7.902600E-3,-0.09245063
7.902800E-3,-0.08560538
7.903000E-3,-0.08347251
7.903200E-3,-0.08773229
7.903400E-3,-0.09764285
7.903600E-3,-0.110516
7.903800E-3,-0.122869
7.904000E-3,-0.1314717
7.904200E-3,-0.1342623
7.904400E-3,-0.1313595
7.904600E-3,-0.1253325
7.904800E-3,-0.1197523
7.905000E-3,-0.1169678
7.905200E-3,-0.1170719
7.905400E-3,-0.1184516
7.905600E-3,-0.1188725
7.905800E-3,-0.116425
7.906000E-3,-0.1102592
7.906200E-3,-0.1010086
7.906400E-3,-0.09066342
7.906600E-3,-0.08169941
7.906800E-3,-0.07579329
7.907000E-3,-0.07307327
7.907200E-3,-0.07251832
7.907400E-3,-0.07316697
7.907600E-3,-0.0751444
7.907800E-3,-0.07944832
7.908000E-3,-0.08652093
7.908200E-3,-0.09512418
7.908400E-3,-0.1026874
7.908600E-3,-0.10659
7.908800E-3,-0.1053568
7.909000E-3,-0.09939214
7.909200E-3,-0.09102587
7.909400E-3,-0.0837187
7.909600E-3,-0.08083651
7.909800E-3,-0.0845417
7.910000E-3,-0.09504641
7.910200E-3,-0.1104877
7.910400E-3,-0.1275629
7.910600E-3,-0.14263
7.910800E-3,-0.1528699
7.911000E-3,-0.15698
7.911200E-3,-0.1548975
7.911400E-3,-0.1471231
7.911600E-3,-0.1347744
7.911800E-3,-0.1201413
7.912000E-3,-0.106498
7.912200E-3,-0.09698148
7.912400E-3,-0.0935052
7.912600E-3,-0.0963259
7.912800E-3,-0.1040795
7.913000E-3,-0.1140184
7.913200E-3,-0.1225565
7.913400E-3,-0.1263027
7.913600E-3,-0.1233009
7.913800E-3,-0.1137912
7.914000E-3,-0.1000332
7.914200E-3,-0.08533215
7.914400E-3,-0.07282963
7.914600E-3,-0.06469037
7.914800E-3,-0.06195077
7.915000E-3,-0.06461609
7.915200E-3,-0.07146585
7.915400E-3,-0.07991453
7.915600E-3,-0.08675403
7.915800E-3,-0.08967405
7.916000E-3,-0.08846132
7.916200E-3,-0.08498325
7.916400E-3,-0.08200423
7.916600E-3,-0.08160628
7.916800E-3,-0.08411061
7.917000E-3,-0.0880564
7.917200E-3,-0.09115999
7.917400E-3,-0.09157983
7.917600E-3,-0.08876154
7.917800E-3,-0.08360615
7.918000E-3,-0.07809016
7.918200E-3,-0.07452916
7.918400E-3,-0.07474299
7.918600E-3,-0.07940424
7.918800E-3,-0.08761854
7.919000E-3,-0.09673838
7.919200E-3,-0.1028246
7.919400E-3,-0.1022715
7.919600E-3,-0.09402547
7.919800E-3,-0.08054122
7.920000E-3,-0.06650021
7.920200E-3,-0.05671552
7.920400E-3,-0.05485213
7.920600E-3,-0.06257701
7.920800E-3,-0.07848578
7.921000E-3,-0.09784596
7.921200E-3,-0.1142735
7.921400E-3,-0.1226209
7.921600E-3,-0.1212569
7.921800E-3,-0.1124463
7.922000E-3,-0.1008396
7.922200E-3,-0.09116507
7.922400E-3,-0.08644723
7.922600E-3,-0.0875768
7.922800E-3,-0.09408212
7.923000E-3,-0.1049166
7.923200E-3,-0.1182744
7.923400E-3,-0.1311419
7.923600E-3,-0.1400256
7.923800E-3,-0.1427471
7.924000E-3,-0.139707
7.924200E-3,-0.133579
7.924400E-3,-0.1278841
7.924600E-3,-0.1253927
7.924800E-3,-0.1268457
7.925000E-3,-0.1305255
7.925200E-3,-0.1334117
7.925400E-3,-0.1333918
7.925600E-3,-0.1305207
7.925800E-3,-0.1262676
7.926000E-3,-0.1219186
7.926200E-3,-0.117819
7.926400E-3,-0.113734
7.926600E-3,-0.1094301
7.926800E-3,-0.1048065
7.927000E-3,-0.09972872
7.927200E-3,-0.09394717
7.927400E-3,-0.08721835
7.927600E-3,-0.07951744
7.927800E-3,-0.07118099
7.928000E-3,-0.06303115
7.928200E-3,-0.05659246
7.928400E-3,-0.05396984
7.928600E-3,-0.05684256
7.928800E-3,-0.06506254
7.929000E-3,-0.07608075
7.929200E-3,-0.08580065
7.929400E-3,-0.09044152
7.929600E-3,-0.08845422
7.929800E-3,-0.08137927
7.930000E-3,-0.07298917
7.930200E-3,-0.06725849
7.930400E-3,-0.06655909
7.930600E-3,-0.07096394
7.930800E-3,-0.07855501
7.931000E-3,-0.08635721
7.931200E-3,-0.0915654
7.931400E-3,-0.09260906
7.931600E-3,-0.08966918
7.931800E-3,-0.08453069
7.932000E-3,-0.07982159
7.932200E-3,-0.07785338
7.932400E-3,-0.07946745
7.932600E-3,-0.08344283
7.932800E-3,-0.08705105
7.933000E-3,-0.08776918
7.933200E-3,-0.08510801
7.933400E-3,-0.08118382
7.933600E-3,-0.07955467
7.933800E-3,-0.08303455
7.934000E-3,-0.09177007
7.934200E-3,-0.1028137
7.934400E-3,-0.1117701
7.934600E-3,-0.1155621
